k,mean_coincidence,coincidence_ratio,experiment,n_best
8,0.6183924587345586,0.6183924587345586,exp2_kmeans_sa_norm,1
9,0.0,,exp2_kmeans_sa_norm,1
10,0.4613210363510484,0.4613210363510484,exp2_kmeans_sa_norm,1
11,0.41804974319954347,0.41804974319954347,exp2_kmeans_sa_norm,1
12,0.959004994507665,0.31966833150255497,exp2_kmeans_sa_norm,1
13,0.9299994271638884,0.9299994271638884,exp2_kmeans_sa_norm,1
14,0.42787260367551866,0.42787260367551866,exp2_kmeans_sa_norm,1
15,0.5971716082346904,0.5971716082346904,exp2_kmeans_sa_norm,1
16,0.9821779583278731,0.9821779583278731,exp2_kmeans_sa_norm,1
0,0.2802935788065774,0.0467155964677629,exp2_kmeans_zero-one,1
1,0.8277715494279194,0.4138857747139597,exp2_kmeans_zero-one,1
2,0.36165397170837865,0.36165397170837865,exp2_kmeans_zero-one,1
3,0.11901526656542243,0.11901526656542243,exp2_kmeans_zero-one,1
4,0.8200304551515107,0.8200304551515107,exp2_kmeans_zero-one,1
5,0.4735952144247028,0.4735952144247028,exp2_kmeans_zero-one,1
6,0.9324530991578263,0.9324530991578263,exp2_kmeans_zero-one,1
7,0.49265564237167964,0.49265564237167964,exp2_kmeans_zero-one,1
8,0.9569511866235167,0.9569511866235167,exp2_kmeans_zero-one,1
9,0.8438675356065826,0.8438675356065826,exp2_kmeans_zero-one,1
10,0.7082785379691117,0.7082785379691117,exp2_kmeans_zero-one,1
11,0.5112770798298546,0.5112770798298546,exp2_kmeans_zero-one,1
12,0.5028362442155545,0.25141812210777725,exp2_kmeans_zero-one,1
13,0.4760670106242743,0.4760670106242743,exp2_kmeans_zero-one,1
14,0.5401979219082427,0.27009896095412134,exp2_kmeans_zero-one,1
15,0.7206618030224075,0.3603309015112037,exp2_kmeans_zero-one,1
16,0.46554909889403634,0.46554909889403634,exp2_kmeans_zero-one,1
17,0.5173278359705816,0.5173278359705816,exp2_kmeans_zero-one,1
18,0.3780674687817101,0.3780674687817101,exp2_kmeans_zero-one,1
19,0.42056553213614367,0.42056553213614367,exp2_kmeans_zero-one,1
20,0.21854924376549142,0.21854924376549142,exp2_kmeans_zero-one,1
21,0.6071198888036015,0.30355994440180073,exp2_kmeans_zero-one,1
22,0.58270002217429,0.58270002217429,exp2_kmeans_zero-one,1
23,0.41310125371188017,0.20655062685594008,exp2_kmeans_zero-one,1
24,0.7208789854067464,0.7208789854067464,exp2_kmeans_zero-one,1
25,0.9613965345122647,0.48069826725613235,exp2_kmeans_zero-one,1
26,0.8108982104839174,0.8108982104839174,exp2_kmeans_zero-one,1
27,0.3203953369653452,0.3203953369653452,exp2_kmeans_zero-one,1
28,0.7606766065044903,0.7606766065044903,exp2_kmeans_zero-one,1
