n_clust,som_dim,amd_bin,experiment_name
0,13,0-4000,exp3_som_demin
0,15,0-4000,exp3_som_demin
0,17,0-4000,exp3_som_demin
5,30,0-4000,exp3_som+kmeans
8,30,0-4000,exp3_som+kmeans
11,30,0-4000,exp3_som+kmeans
14,30,0-4000,exp3_som+kmeans
17,30,0-4000,exp3_som+kmeans
5,40,0-4000,exp3_som+kmeans
8,40,0-4000,exp3_som+kmeans
11,40,0-4000,exp3_som+kmeans
14,40,0-4000,exp3_som+kmeans
32,40,0-4000,exp3_som+kmeans
5,50,0-4000,exp3_som+kmeans
8,50,0-4000,exp3_som+kmeans
11,50,0-4000,exp3_som+kmeans
14,50,0-4000,exp3_som+kmeans
23,50,0-4000,exp3_som+kmeans
5,60,0-4000,exp3_som+kmeans
8,60,0-4000,exp3_som+kmeans
11,60,0-4000,exp3_som+kmeans
14,60,0-4000,exp3_som+kmeans
23,60,0-4000,exp3_som+kmeans
5,70,0-4000,exp3_som+kmeans
8,70,0-4000,exp3_som+kmeans
11,70,0-4000,exp3_som+kmeans
14,70,0-4000,exp3_som+kmeans
23,70,0-4000,exp3_som+kmeans
5,80,0-4000,exp3_som+kmeans
8,80,0-4000,exp3_som+kmeans
11,80,0-4000,exp3_som+kmeans
14,80,0-4000,exp3_som+kmeans
17,80,0-4000,exp3_som+kmeans
5,30,0-4000,exp3_som+kmeans_unit_norm
11,30,0-4000,exp3_som+kmeans_unit_norm
14,30,0-4000,exp3_som+kmeans_unit_norm
17,30,0-4000,exp3_som+kmeans_unit_norm
32,30,0-4000,exp3_som+kmeans_unit_norm
5,40,0-4000,exp3_som+kmeans_unit_norm
8,40,0-4000,exp3_som+kmeans_unit_norm
11,40,0-4000,exp3_som+kmeans_unit_norm
14,40,0-4000,exp3_som+kmeans_unit_norm
17,40,0-4000,exp3_som+kmeans_unit_norm
5,50,0-4000,exp3_som+kmeans_unit_norm
8,50,0-4000,exp3_som+kmeans_unit_norm
38,50,0-4000,exp3_som+kmeans_unit_norm
41,50,0-4000,exp3_som+kmeans_unit_norm
44,50,0-4000,exp3_som+kmeans_unit_norm
5,60,0-4000,exp3_som+kmeans_unit_norm
8,60,0-4000,exp3_som+kmeans_unit_norm
11,60,0-4000,exp3_som+kmeans_unit_norm
14,60,0-4000,exp3_som+kmeans_unit_norm
23,60,0-4000,exp3_som+kmeans_unit_norm
5,70,0-4000,exp3_som+kmeans_unit_norm
8,70,0-4000,exp3_som+kmeans_unit_norm
14,70,0-4000,exp3_som+kmeans_unit_norm
20,70,0-4000,exp3_som+kmeans_unit_norm
26,70,0-4000,exp3_som+kmeans_unit_norm
5,80,0-4000,exp3_som+kmeans_unit_norm
8,80,0-4000,exp3_som+kmeans_unit_norm
11,80,0-4000,exp3_som+kmeans_unit_norm
14,80,0-4000,exp3_som+kmeans_unit_norm
