timestamp,process,year,status,message,feature_specification,output_file
2018-07-22 21:15:41,featureExtraction,1994,2014,1,Success!,['features1'],features1_1994+20.txt
2018-07-23 14:26:28,featureExtraction,1994,2014,1,Success!,['grant'],grant_1994+20.feather
2018-07-23 15:00:18,featureExtraction,1994,2014,1,Success!,"['grant', 'appliances', 'app_broken']",grant_appliances_app_broken_1994+20.feather
2018-07-23 15:05:30,featureExtraction,1994,2014,1,Success!,"['grant', 'appliance1', 'app_broken']",grant_appliance1_app_broken_1994+20.feather
2018-07-23 15:23:50,featureExtraction,1994,2014,1,Success!,"['grant', 'appliance1', 'app_broken']",grant_appliance1_app_broken_1994+20.feather
2018-08-06 11:40:31,featureExtraction,1994,2014,1,Success!,['features2'],features2_1994+20.feather
2018-08-12 12:28:23,featureExtraction,1994,2014,1,Success!,['features1'],features1_1994+20.feather
2018-08-12 21:27:32,featureExtraction,1994,2014,1,Success!,['features2'],features2_1994+20.feather
2018-08-14 18:09:15,featureExtraction,1994,2014,1,Success!,['features3'],features3_1994+20.feather
2018-08-22 17:52:33,featureExtraction,1994,2014,1,Success!,['features4'],features4_1994+20.feather
2018-08-23 15:57:00,featureExtraction,1994,2014,1,Success!,['features4'],features4_1994+20.feather
2018-08-23 16:03:58,featureExtraction,1994,2014,1,Success!,['features4'],features4_1994+20.feather
2018-08-23 17:05:27,featureExtraction,1994,2014,1,Success!,['features1'],features1_1994+20.feather
2018-08-23 17:06:45,featureExtraction,1994,2014,1,Success!,['features2'],features2_1994+20.feather
2018-08-23 17:08:03,featureExtraction,1994,2014,1,Success!,['features3'],features3_1994+20.feather
2018-08-23 17:09:27,featureExtraction,1994,2014,1,Success!,['features4'],features4_1994+20.feather
2018-08-24 12:45:55,featureExtraction,1994,2014,1,Success!,['features4'],features4_1994+20.feather
2018-08-24 12:48:03,featureExtraction,1994,2014,1,Success!,['features1'],features1_1994+20.feather
2018-08-24 12:51:37,featureExtraction,1994,2014,1,Success!,['features2'],features2_1994+20.feather
2018-08-24 12:54:58,featureExtraction,1994,2014,1,Success!,['features3'],features3_1994+20.feather
2018-08-27 12:43:38,featureExtraction,2000,2005,0,Cannot save to specified file type,['features4_00'],features4_00_2000+5..doc
