Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary
exp5_kmeans_unit_norm_features1BEST1,8,3,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.0180827031600002E7,228518.0,176151.0,26558.0,149593.0,0.0,15.076837486020516,84.92316251397948,0.0,0.10743108331528857,0.026603445849830494,0.11544411400098296,96.1230979807152,98.14323843136445,957898.0044815259,824572.8478029838,133325.15667854203,5.43793679559881,4.681056864865847,0.7568799307329622,173102.82938977436,0.9826956951125703,3179909.6047575995,0.0,0.0,0.0,0.0,1.0,176144.0,1.0,7.0,NaN,0.0,NaN,NaN,0.6143780089018076,1.0304270384054877E-4,0.15076837486020517,0.04304157366591819,0.9569584263340817,0.8492316251397949,NaN,0.15076837486020517,NaN,NaN,0.7754154018782071,0.10336713561043925,NaN,0.15076837486020517,287.568,6.437,286.97,6.43,286970.0,6430.0,53087.0,2.8569926E7,3179051.0,96.14421717730811,51.9497963192269,?
exp5_kmeans_unit_norm_features1BEST1,8,4,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270321E7,228518.0,175528.0,25860.0,149668.0,0.0,14.732692220044665,85.26730777995533,0.0,0.10470215915031467,0.02674495535756511,0.11555392605798782,96.59216113013589,98.18840077105727,958470.472251118,827297.4875365966,131172.98471452144,5.460499021530001,4.713193835380091,0.7473051861499103,167583.64883459924,0.9547402627193339,3079918.0219783327,0.0,0.0,0.0,0.0,1.0,175522.0,1.0,6.0,NaN,0.0,NaN,NaN,0.5926208680393341,8.389965601141036E-5,0.14732692220044666,0.04250756946434761,0.9574924305356524,0.8526730777995534,NaN,0.14732692220044666,NaN,NaN,0.7741784513867692,0.09948680293080778,NaN,0.14732692220044666,288.254,6.423,287.82,6.43,287820.0,6430.0,53087.0,2.8569926E7,3179051.0,96.27922610637619,53.53976899086251,?
exp5_kmeans_unit_norm_features1BEST1,8,5,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270326E7,228518.0,177917.0,26737.0,151180.0,0.0,15.027793858934222,84.97220614106578,0.0,0.10774407017769501,0.026616055036256265,0.11546243677493194,96.1448919375174,98.13155051585848,970517.7454067911,833339.4605655057,137178.28484128544,5.4548904568242,4.683866412796448,0.7710240440277514,175118.55888612225,0.9842710864398694,3218036.6840329682,0.0,0.0,0.0,0.0,1.0,177888.0,1.0,29.0,NaN,0.0,NaN,NaN,0.7388918870300414,6.239511166573433E-4,0.1502779385893422,0.04225471649260756,0.9577452835073925,0.8497220614106578,NaN,0.1502779385893422,NaN,NaN,0.7766707324084358,0.10200668109088082,NaN,0.1502779385893422,288.628,6.379,288.03,6.38,288030.0,6380.0,53087.0,2.8569926E7,3179051.0,96.08469117622262,51.77291337292689,?
exp5_kmeans_unit_norm_features1BEST1,8,6,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270331E7,228518.0,178659.0,26158.0,152501.0,0.0,14.64129990652584,85.35870009347416,0.0,0.1025736739483667,0.02673691863287804,0.1156766872805548,96.5913933143414,98.32496391141426,972755.2184312164,842752.3737556698,130002.84467554663,5.4447591133456275,4.7171000271784225,0.7276590861672048,168089.65467041827,0.9408406778859071,3088248.8714688607,0.0,0.0,0.0,0.0,1.0,178653.0,1.0,6.0,NaN,0.0,NaN,NaN,0.42031200147772496,5.793239289748863E-5,0.1464129990652584,0.043702292668788646,0.9562977073312116,0.8535870009347416,NaN,0.1464129990652584,NaN,NaN,0.7709783425724915,0.0974638232613019,NaN,0.1464129990652584,289.398,6.387,289.08,6.38,289080.0,6380.0,53087.0,2.8569926E7,3179051.0,96.25767523606423,52.687825890180974,?
exp5_kmeans_unit_norm_features1BEST1,8,7,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.0180827033600003E7,228518.0,176682.0,25709.0,150973.0,0.0,14.551001233855175,85.44899876614483,0.0,0.10315129758706346,0.02667633254580401,0.1154900357846009,96.35508667677266,98.14638553832403,963449.9602861131,829801.8502559336,133648.1100301795,5.453017060516142,4.696583977178963,0.7564330833371792,172560.8059392938,0.976674510925243,3170916.5145693095,0.0,0.0,0.0,0.0,1.0,176679.0,1.0,3.0,NaN,0.0,NaN,NaN,0.6153759077196498,4.414491303452132E-5,0.14551001233855174,0.042093825657365476,0.9579061743426346,0.8544899876614482,NaN,0.14551001233855174,NaN,NaN,0.7754701220529814,0.10084649337738735,NaN,0.14551001233855174,294.296,6.402,293.65,6.4,293650.0,6400.0,53087.0,2.8569926E7,3179051.0,96.02958988465151,51.481079000688496,?
exp5_kmeans_unit_norm_features1BEST1,8,8,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270341E7,228518.0,179240.0,28022.0,151218.0,0.0,15.633787101093507,84.3662128989065,0.0,0.11237217215258843,0.02661544164463234,0.1154012642204544,96.20058849590542,98.14610785003944,970720.7382912821,836752.2886061535,133968.44968512864,5.415759530748059,4.668334571558544,0.7474249591895148,175045.0294653239,0.976595790366681,3214098.828965889,0.0,0.0,0.0,0.0,1.0,179236.0,1.0,4.0,NaN,0.0,NaN,NaN,0.6616137383114999,6.59467480009892E-5,0.15633787101093505,0.04360854737274674,0.9563914526272533,0.8436621289890649,NaN,0.15633787101093505,NaN,NaN,0.7743756311317569,0.10131592289261537,NaN,0.15633787101093505,298.532,6.476,298.07,6.47,298070.0,6470.0,53087.0,2.8569926E7,3179051.0,95.98024994420888,51.01013007300453,?
exp5_kmeans_unit_norm_features1BEST1,8,9,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270346E7,228518.0,177255.0,26432.0,150823.0,0.0,14.911850159374913,85.08814984062509,0.0,0.10608244793834923,0.026615252054652625,0.1154260970186867,96.15361103759196,98.1139844382445,964745.9775166613,828629.2404079844,136116.73710867693,5.442701066354468,4.674786270672107,0.7679147956823612,176740.6907791531,0.9970984783456214,3247051.788788438,0.0,0.0,0.0,0.0,1.0,177249.0,1.0,6.0,NaN,0.0,NaN,NaN,0.7582412312622356,1.3997433803802638E-4,0.14911850159374912,0.042656982180426864,0.9573430178195729,0.8508814984062509,NaN,0.14911850159374912,NaN,NaN,0.7740906267753975,0.10105323436835266,NaN,0.14911850159374912,294.357,6.406,293.96,6.4,293960.0,6400.0,53087.0,2.8569926E7,3179051.0,95.74511297283574,50.38675515903023,?
exp5_kmeans_unit_norm_features1BEST1,8,10,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270351E7,228519.0,181825.0,27949.0,153876.0,0.0,15.371373573490994,84.628626426509,0.0,0.1099401692355374,0.02665023737311631,0.11542904213146213,96.30772317850884,98.14837455152671,986988.7688268659,850814.0329071733,136174.73591969267,5.428234669747647,4.6793017071754335,0.7489329625722132,176154.06211564864,0.9688110112231467,3235289.3517243518,0.0,0.0,0.0,0.0,1.0,181821.0,1.0,4.0,NaN,0.0,NaN,NaN,0.4288008535867694,3.851338340073175E-5,0.15371373573490993,0.04357911119153421,0.9564208888084659,0.84628626426509,NaN,0.15371373573490993,NaN,NaN,0.7754466344774134,0.10138860076012943,NaN,0.15371373573490993,286.728,6.38,286.26,6.37,286260.0,6370.0,53087.0,2.8570051E7,3178926.0,96.0494981438196,52.50330969731251,?
exp5_kmeans_unit_norm_features1BEST1,9,1,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.0180827035600003E7,228518.0,178522.0,27618.0,150904.0,0.0,15.470362196255923,84.52963780374408,0.0,0.11091522466922116,0.026603666859823495,0.11527657152103292,96.12190714439292,97.99855587148345,971471.2360402355,834314.5794430013,137156.6565972342,5.44174519689582,4.673455257296027,0.7682899395997927,174389.08136271095,0.9768492475028902,3203771.640741693,0.0,0.0,0.0,0.0,1.0,178516.0,1.0,6.0,NaN,0.0,NaN,NaN,0.4379383360595129,5.979490348105996E-5,0.15470362196255924,0.04337346502280268,0.9566265349771973,0.8452963780374407,NaN,0.15470362196255924,NaN,NaN,0.7768792034772112,0.10558733049569344,NaN,0.15470362196255924,290.83,6.389,290.24,6.38,290240.0,6380.0,53087.0,2.8569926E7,3179051.0,96.56624953787208,51.98687796781873,?
exp5_kmeans_unit_norm_features1BEST1,9,2,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270401E7,228518.0,178274.0,26312.0,151962.0,0.0,14.759303095235424,85.24069690476458,0.0,0.10418605970213145,0.02665608509116924,0.11552890232040568,96.32207627950801,98.22542444850802,968470.0118427033,833734.1750957717,134735.83674693166,5.432480405682844,4.676700893544609,0.7557795121382347,171858.28190168377,0.9640120370984203,3156691.702296543,0.0,0.0,0.0,0.0,1.0,178268.0,1.0,6.0,NaN,0.0,NaN,NaN,0.6571846882222272,9.816914543758896E-5,0.14759303095235424,0.043146728610671356,0.9568532713893286,0.8524069690476458,NaN,0.14759303095235424,NaN,NaN,0.7748039236196634,0.0982441943164855,NaN,0.14759303095235424,287.443,6.38,286.79,6.38,286790.0,6380.0,53087.0,2.8569926E7,3179051.0,96.57605708067356,51.964936798728935,?
exp5_kmeans_unit_norm_features1BEST1,9,3,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.0180827040599998E7,228518.0,178442.0,26765.0,151677.0,0.0,14.999271471962878,85.00072852803711,0.0,0.10618104370202948,0.026657597605576684,0.11542830887547903,96.31580929989191,98.12643626712791,970699.7883956212,835464.5818835653,135235.20651205594,5.439861626722528,4.681995168646201,0.757866458076327,173275.3803204218,0.9710459438944968,3183200.9603642095,0.0,0.0,0.0,0.0,1.0,178413.0,1.0,29.0,NaN,0.0,NaN,NaN,0.7243250211587721,5.89167445451221E-4,0.1499927147196288,0.043584288834549754,0.95641571116545,0.8500072852803712,NaN,0.1499927147196288,NaN,NaN,0.7744385341695967,0.10318046116480127,NaN,0.1499927147196288,289.274,6.398,288.81,6.4,288810.0,6400.0,53087.0,2.8569926E7,3179051.0,96.39042377915513,52.44296265933198,?
exp5_kmeans_unit_norm_features1BEST1,9,4,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270411E7,228518.0,175899.0,25552.0,150347.0,0.0,14.526518058658661,85.47348194134133,0.0,0.10292196526187958,0.026682287918351075,0.11554835986011919,96.38638379486032,98.20715357716097,959029.138870875,826714.1706609145,132314.9682099605,5.45215799334206,4.6999367288097975,0.7522212645322628,170758.44904018237,0.9707755532446596,3137744.0118265185,0.0,0.0,0.0,0.0,1.0,175895.0,1.0,4.0,NaN,0.0,NaN,NaN,0.6606498194945848,6.700055275456022E-5,0.14526518058658663,0.04208874467686366,0.9579112553231365,0.8547348194134133,NaN,0.14526518058658663,NaN,NaN,0.7723786359681564,0.09804943966470758,NaN,0.14526518058658663,286.02,6.503,285.51,6.49,285510.0,6490.0,53087.0,2.8569926E7,3179051.0,96.15574846929204,52.32650555147885,?
exp5_kmeans_unit_norm_features1BEST1,9,5,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270416E7,228518.0,179480.0,26624.0,152856.0,0.0,14.833964787162914,85.16603521283709,0.0,0.10434382009945403,0.026674586797178528,0.1155138711930999,96.37063073551485,98.19168099364346,976108.1278245348,842887.9915845996,133220.13623993518,5.438534253535407,4.696278089952082,0.742256163583325,171712.37785724705,0.9567215169224819,3154389.895297719,0.0,0.0,0.0,0.0,1.0,179474.0,1.0,6.0,NaN,0.0,NaN,NaN,0.664647804138761,9.967936471018225E-5,0.14833964787162915,0.04387391270797983,0.9561260872920199,0.8516603521283709,NaN,0.14833964787162915,NaN,NaN,0.773101970811076,0.09996337090246112,NaN,0.14833964787162915,288.489,6.347,288.13,6.34,288130.0,6340.0,53087.0,2.8569926E7,3179051.0,96.05025629596612,52.18266261262414,?
exp5_kmeans_unit_norm_features1BEST1,9,6,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.0180827042099997E7,228518.0,176658.0,24412.0,152246.0,0.0,13.818791110507307,86.1812088894927,0.0,0.09540249358114847,0.026645478291637822,0.11570759755634509,96.25433320803566,98.34353600093552,963027.858878867,834628.8770288213,128398.98185004573,5.4513685136187835,4.724546168465743,0.72682234515304,168997.7364925127,0.9566378906843318,3105341.8147713165,0.0,0.0,0.0,0.0,1.0,176652.0,1.0,6.0,NaN,0.0,NaN,NaN,0.7698299481466386,1.475434023508582E-4,0.13818791110507309,0.04274211973203747,0.9572578802679625,0.8618120888949269,NaN,0.13818791110507309,NaN,NaN,0.7708952359661316,0.0977671173219289,NaN,0.13818791110507309,297.355,6.392,296.88,6.39,296880.0,6390.0,53087.0,2.8569926E7,3179051.0,95.84507919256416,51.758797870944036,?
exp5_kmeans_unit_norm_features1BEST1,9,7,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270426E7,228518.0,177008.0,26461.0,150547.0,0.0,14.949041851215764,85.05095814878423,0.0,0.10615130028289073,0.02667186533868285,0.1155050247018634,96.36190920110151,98.18539402288704,964058.6623483083,833203.9662392574,130854.69610905088,5.446412943755696,4.707154288163571,0.7392586555921251,168329.79909364053,0.9509728322654373,3092745.551663356,0.0,0.0,0.0,0.0,1.0,177005.0,1.0,3.0,NaN,0.0,NaN,NaN,0.5885652947656845,4.11884233071558E-5,0.14949041851215764,0.0431319138202972,0.9568680861797029,0.8505095814878424,NaN,0.14949041851215764,NaN,NaN,0.7730872270189267,0.09952686643740734,NaN,0.14949041851215764,287.759,6.53,287.14,6.52,287140.0,6520.0,53087.0,2.8569926E7,3179051.0,95.88493175449698,52.55735011169514,?
exp5_kmeans_unit_norm_features1BEST1,9,8,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270431E7,228518.0,177986.0,27272.0,150714.0,0.0,15.32255345926084,84.67744654073915,0.0,0.11032158692203868,0.026634323889525788,0.1154373501074729,96.21751645103316,98.11782009060262,969057.6421304685,832947.1442150297,136110.49791543884,5.444572281698945,4.679846416094691,0.7647258656042545,172096.18068951654,0.966908524768895,3161843.2927302653,0.0,0.0,0.0,0.0,1.0,177982.0,1.0,4.0,NaN,0.0,NaN,NaN,0.4271218437819555,3.922876252868603E-5,0.1532255345926084,0.04271979621301444,0.9572802037869856,0.8467744654073915,NaN,0.1532255345926084,NaN,NaN,0.776221659706667,0.10195058801846234,NaN,0.1532255345926084,293.513,6.4,292.9,6.4,292900.0,6400.0,53087.0,2.8569926E7,3179051.0,96.4221905093659,52.84995930658784,?
exp5_kmeans_unit_norm_features1BEST1,9,9,weka.classifiers.functions.Logistic,'-C -R 0.005 -M 10',3932117032546553727,2.01808270436E7,228518.0,178151.0,28141.0,150010.0,0.0,15.796150456635102,84.2038495433649,0.0,0.11519190365627581,0.026668754716602794,0.11544222721233073,96.3433941291954,98.12371326454233,970136.0624990945,833661.8969978441,136474.16550125042,5.445583030682368,4.679524094716528,0.7660589359658403,172975.15832592413,0.9709468839687913,3178047.884674302,0.0,0.0,0.0,0.0,1.0,178144.0,1.0,7.0,NaN,0.0,NaN,NaN,0.6688128704867972,1.1862999305167184E-4,0.15796150456635102,0.04249403780462085,0.957505962195379,0.842038495433649,NaN,0.15796150456635102,NaN,NaN,0.7765316832127847,0.10051487092540538,NaN,0.15796150456635102,288.827,6.447,288.31,6.44,288310.0,6440.0,53087.0,2.8569926E7,3179051.0,96.1510179566772,52.4191917450416,?
